 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
Todd Gurley*+,1,1,LAR,RB,24,14,14,0,0,0,0,0,256,1251,17,81,59,580,4,313,379.1,342.6
Saquon Barkley*,2,2,NYG,RB,21,16,16,0,0,0,0,0,261,1307,11,121,91,721,4,295,391.8,340.3
Christian McCaffrey,3,3,CAR,RB,22,16,16,1,1,50,1,0,219,1098,7,124,107,867,6,279,392.5,332.0
Alvin Kamara*,4,4,NOR,RB,23,15,13,0,0,0,0,0,194,883,14,105,81,709,4,273,360.2,313.7
Patrick Mahomes*+,1,5,KAN,QB,23,16,16,383,580,5097,50,12,60,272,2,0,0,0,0,417,437.1,429.1
Tyreek Hill*+,1,6,KAN,WR,24,16,16,0,0,0,0,0,22,151,1,137,87,1479,12,247,340.0,290.5
Ezekiel Elliott*,5,7,DAL,RB,23,15,15,0,0,0,0,0,304,1434,6,95,77,567,3,252,336.1,290.6
Travis Kelce*+,1,8,KAN,TE,29,16,16,0,0,0,0,0,0,0,0,150,103,1336,10,192,298.6,243.1
Antonio Brown*,2,9,PIT,WR,30,15,15,0,1,0,0,0,0,0,0,168,104,1297,15,220,326.7,271.7
Davante Adams*,3,10,GNB,WR,26,15,15,0,0,0,0,0,0,0,0,169,111,1386,13,219,332.6,274.1
DeAndre Hopkins*+,4,11,HOU,WR,26,16,16,0,1,0,0,0,1,-7,0,163,115,1572,11,219,338.5,276.0
Julio Jones*,5,12,ATL,WR,29,16,16,0,0,0,0,0,2,12,0,170,113,1677,8,213,330.9,269.4
Melvin Gordon*,6,13,LAC,RB,25,12,12,0,0,0,0,0,175,885,10,66,50,490,4,226,281.5,250.5
James Conner*,7,14,PIT,RB,23,13,12,0,0,0,0,0,215,973,12,71,55,497,1,225,288.0,252.5
George Kittle*,2,15,SFO,TE,25,16,16,0,0,0,0,0,1,10,0,136,88,1377,5,171,261.7,214.7
Mike Evans*,6,16,TAM,WR,25,16,16,0,0,0,0,0,0,0,0,138,86,1524,8,198,294.4,247.4
Zach Ertz*,3,17,PHI,TE,28,16,16,0,0,0,0,0,0,0,0,156,116,1163,8,164,283.3,222.3
Adam Thielen*,7,18,MIN,WR,28,16,16,0,0,0,0,0,5,30,0,153,113,1373,9,194,311.3,250.8
